top - 15:05:08 up 119 days,  4:17,  1 user,  load average: 1,63, 1,61, 1,
Tasks: 1134 total,   1 running, 1133 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7,4 us,  5,1 sy,  0,0 ni, 85,3 id,  1,5 wa,  0,0 hi,  0,7 si,  
МиБ Mem :  31926,7 total,    590,5 free,  24176,4 used,   7159,8 buff/cac
МиБ Swap:   2048,0 total,      0,0 free,   2048,0 used.   5955,2 avail Me

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+
   1871 postgres  20   0  217652    180     72 S   0,0   0,0   1:47.06
   1872 postgres  20   0  217652    132     44 S   0,0   0,0   1:55.18
   1873 postgres  20   0  218056    280    116 S   0,0   0,0   0:44.36
   1874 postgres  20   0   72016    300    180 S   0,0   0,0   0:22.34
   1875 postgres  20   0  218040    216     84 S   0,0   0,0   0:06.50
   1972 root      20   0   10604   1112    588 S   0,0   0,0   0:00.09
   2182 root      20   0  239856   2224   1008 S   0,0   0,0   0:00.37
   2861 root      20   0  444756  70536   3840 S   0,0   0,2 132:42.36
   3204 kernoops  20   0   13092   1236    800 S   0,0   0,0   0:06.59
   3225 kernoops  20   0   13092    780    384 S   0,0   0,0   0:06.71
   8504 root      20   0  389548   1528      0 S   0,0   0,0   0:00.07
   8820 user      20   0   19584   7808   3880 S   0,0   0,0   1300:11
   8821 user      20   0  171072   1188      0 S   0,0   0,0   0:00.00
   8849 user      20   0   37364   1192      0 S   0,0   0,0   0:00.28
   8850 user      20   0   20960   2020    900 S   0,0   0,0  21:12.09
   8851 user      20   0 3141720  13352   6576 S   0,0   0,0 635:03.45
   8863 user      20   0   11092   5220   2252 S   0,0   0,0  18:03.49
   8871 user      20   0  238428   3156   2316 S   0,0   0,0   0:00.90
   8873 user      20   0 1190160   4272   1180 S   0,0   0,0   2:01.90
   8882 user      20   0  380888    440      0 S   0,0   0,0   0:00.00
   8888 user      20   0  756984   2180   1192 S   0,0   0,0   0:01.17
   8895 user      20   0  382092   1032      0 S   0,0   0,0   0:00.30
   8905 root      20   0    2792     76      0 S   0,0   0,0   0:00.00
   8940 user      39  19  875312  32620   7888 S   0,0   0,1 671:24.53
   8952 root      10 -10       0      0      0 S   0,0   0,0   0:00.00
   8973 user      20   0  234360   2104   1304 S   0,0   0,0   0:00.34
   8977 user      20   0  591576   3424   2124 S   0,0   0,0 140:05.24
   8980 user      20   0  159984    160      4 S   0,0   0,0   0:00.00
   8982 user      20   0 1502432 224976  58832 S   0,0   0,7   2088:02
   8989 user      20   0  336144    460      0 S   0,0   0,0   3:00.07
   8992 user      20   0  235212   2204   1168 S   0,0   0,0   0:00.34
   9003 user      20   0  234128    796      0 S   0,0   0,0   0:00.34
   9030 user      20   0  312932   1224      0 S   0,0   0,0   3:39.05
   9091 user      20   0  218952      0      0 S   0,0   0,0   0:00.04
   9216 user      20   0  309792    644      0 S   0,0   0,0   0:00.01
   9222 user      20   0    8896   1420    612 S   0,0   0,0   1:05.59
   9244 user      20   0  450136   2792      0 S   0,0   0,0   0:00.20
   9246 user      20   0   89268    416      0 S   0,0   0,0   0:00.00
   9257 user      20   0  590136   4600   2808 S   0,0   0,0   0:00.72
   9285 user      20   0 9638932   3,3g  36968 S   0,0  10,6   2851:22
   9328 user      20   0   76252    556      0 S   0,0   0,0   0:00.06
   9408 user      20   0  314816   5904    204 S   0,0   0,0   2:27.94
   9412 user      20   0  753316   8216   3808 S   0,0   0,0 172:30.09
   9416 user      20   0 2514052 308452   7812 S   0,0   0,9  18:03.31
   9433 user      20   0  612100    688      0 S   0,0   0,0   0:00.06
   9440 user      20   0 1099264   6260   2956 S   0,0   0,0   0:00.50
   9450 user      20   0  341440   7600   1452 S   0,0   0,0   4:10.94
   9455 user      20   0  162884   1016      0 S   0,0   0,0   6:56.43
   9460 user      20   0 2793840   5088   2456 S   0,0   0,0   0:00.07
   9462 user      20   0  884052   5028   1216 S   0,0   0,0 153:56.76
   9466 user      20   0  159580   6320   2824 S   0,0   0,0   0:04.36
   9484 user      20   0  699408   3280      0 S   0,0   0,0 153:11.20
   9497 user      20   0  811112  22020   7508 S   0,0   0,1   4:08.06
   9498 user      20   0  421124   7008   3396 S   0,0   0,0 576:39.44
   9506 user      20   0  230716   2492   2096 S   0,0   0,0   0:00.05
   9515 user      20   0 2729216  11180   4852 S   0,0   0,0   0:01.90
   9531 user      20   0    2888      0      0 S   0,0   0,0   0:00.00
   9532 user      20   0  308248   1864   1212 S   0,0   0,0   0:00.10
   9533 user      20   0  815700  13816   4376 S   0,0   0,0   2:58.20
   9535 user      20   0  371788   3300   1536 S   0,0   0,0   0:00.11
   9537 user      20   0  310384   2828   1312 S   0,0   0,0   1355:20
   9539 user      20   0  339872   5636      0 S   0,0   0,0   2:22.61
   9541 user      20   0  927536   8528   2832 S   0,0   0,0   2:36.86
   9542 user      20   0  521916   9500   3864 S   0,0   0,0   2:45.28
   9544 user      20   0  321408   1628    740 S   0,0   0,0   0:00.86
   9545 user      20   0  455492   2340    896 S   0,0   0,0  59:12.96
   9548 user      20   0  234040   2088   1380 S   0,0   0,0   0:00.13
   9550 user      20   0  464428   2960      0 S   0,0   0,0 211:53.64
   9552 user      20   0  457604   1048      0 S   0,0   0,0   0:00.10
   9555 user      20   0  317176   1080      0 S   0,0   0,0   0:00.10
   9556 user      20   0  340196   8824   3200 S   0,0   0,0   2:20.08
   9557 user      20   0  341776   6776   1336 S   0,0   0,0   3:42.69
   9564 user      20   0  318468  17608   3612 S   0,0   0,1  13:52.20
   9577 user      20   0  312056    344      0 S   0,0   0,0   0:00.01
   9582 user      20   0  905508  12560   2188 S   0,0   0,0   2:48.77
   9590 user      20   0  232276   2596   1188 S   0,0   0,0   5:41.18
   9599 user      20   0  574480   8584   4656 S   0,0   0,0   6:56.35
   9634 user      20   0  235056     52      0 S   0,0   0,0   0:00.00
   9635 user      20   0  352880  41356   4056 S   0,0   0,1   5:40.73
   9658 user      20   0  192464   6716   3420 S   0,0   0,0   8:12.40
   9665 user      20   0  339988   1884      0 S   0,0   0,0   0:00.01
   9666 user      20   0  235268   1344    560 S   0,0   0,0   0:00.93
   9761 user      20   0  173380  49540   2916 S   0,0   0,2   3:03.12
  11144 user      20   0  162416   4676   2684 S   0,0   0,0   0:00.79
  11562 user      20   0 5103052 365068   4216 S   0,0   1,1 244:46.75
  11566 user      20   0   12328   1624    952 S   0,0   0,0   5:34.64
  12672 user      20   0   21348  15288   1704 S   0,0   0,0   7:16.61
  13517 user      20   0  805812  15624   6820 S   0,0   0,0   5:28.64
  80769 user      20   0 1533612   5264      0 S   0,0   0,0   5:48.94
 125852 user      20   0 1148980 125108  23376 S   0,0   0,4  10:24.96
 125922 user      20   0   11208   2048   1404 S   0,0   0,0   0:02.68
 205082 root      20   0   20256    508     28 S   0,0   0,0   0:00.02
 459091 user      20   0  277772    740      0 S   0,0   0,0   0:00.02
 517328 root      20   0   20264    512     24 S   0,0   0,0   0:00.02
 521451 root      20   0  207344   6380     24 S   0,0   0,0   0:00.01
 521452 root      20   0    4344     88      0 S   0,0   0,0   0:00.00
 521453 root      20   0  232564  27944     24 S   0,0   0,1   0:00.57
 609883 root      20   0       0      0      0 I   0,0   0,0   0:05.57
 697426 root      20   0   20340    588     24 S   0,0   0,0   0:00.04
 768721 user      20   0  314552   4204   1152 S   0,0   0,0   0:00.49
 808885 root      20   0   20264    556     64 S   0,0   0,0   0:00.04
 838060 user      20   0   14004  12800   1480 S   0,0   0,0   0:12.31
 838291 user      20   0  267756  16452   6216 S   0,0   0,1   0:00.05
